"","number","time","position","race_id","athlete_id","world_athletics_id","birth","nationality","sex","active_seasons","temperature","humidity","conditions","competition","stadium_id","round","event","name","final_position","color","Reference Bit","Critical Speed (m/s)","Work Capacity (m)","R2","velocity","w_r","rel_w_r"
"52",7,14.3,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",0,5.96123315664857,173.338471697221,0.993937690208661,6.99300699300699,53.3664578391261,0.307874283859754
"53",8,14.2,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",0,5.96123315664857,173.338471697221,0.993937690208661,7.04225352112676,38.0159686635357,0.219316394631309
"54",9,14,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",1,5.96123315664857,173.338471697221,0.993937690208661,7.14285714285714,21.4732328566156,0.123880363351328
"55",10,13.9,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",1,5.96123315664857,173.338471697221,0.993937690208661,7.19424460431655,4.33437373403064,0.0250052610455786
"56",11,14.1,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",0,5.96123315664857,173.338471697221,0.993937690208661,7.09219858156028,-11.6122387572246,-0.0669916992086344
"57",12,13.8,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",1,5.96123315664857,173.338471697221,0.993937690208661,7.2463768115942,-29.3472211954744,-0.169305872540152
"58",13,13.6,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",1,5.96123315664857,173.338471697221,0.993937690208661,7.35294117647059,-48.2744502650539,-0.278498187923206
"59",14,13.5,1,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",1,5.96123315664857,173.338471697221,0.993937690208661,7.40740740740741,-67.7978026502983,-0.391129574332028
"60",15,13.8,4,1,4,14653717,"2000-09-19T00:00:00.000Z","NOR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Jakob Ingebrigtsen",4,"#626262",1,5.96123315664857,173.338471697221,0.993937690208661,7.2463768115942,-85.5327850885481,-0.493443747663546
"61",1,14.1,3,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",0,5.8730048729607,175.333276003894,0.993040851058842,7.09219858156028,158.14264471264,0.901954542326168
"62",2,13.5,3,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",1,5.8730048729607,175.333276003894,0.993040851058842,7.40740740740741,137.42821049761,0.783811342774188
"63",3,13.7,3,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",1,5.8730048729607,175.333276003894,0.993040851058842,7.2992700729927,117.888377257171,0.672367390514923
"64",4,13.8,3,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",1,5.8730048729607,175.333276003894,0.993040851058842,7.2463768115942,98.935844504029,0.564273061902017
"65",5,14.1,3,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",0,5.8730048729607,175.333276003894,0.993040851058842,7.09219858156028,81.7452132127748,0.466227604228185
"66",6,14,3,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",1,5.8730048729607,175.333276003894,0.993040851058842,7.14285714285714,63.9672814342247,0.364832522907995
"67",7,14.4,4,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",0,5.8730048729607,175.333276003894,0.993040851058842,6.94444444444444,48.5385516048587,0.276835936173238
"68",8,14.2,3,1,2,14533464,"1997-10-08T00:00:00.000Z","GBR","MALE"," 2024 2023 2022 2021 2020 2019 2018 2017 2016 2015 2014 2013 2012","Undefined","Undefined","Undefined","1500m",1,"Final","Olympic Games","Josh Kerr",2,"#C0C0C0",0,5.8730048729607,175.333276003894,0.993040851058842,7.04225352112676,31.9352208009007,0.182140102145764
